Nombre,Ubicación,Precio,Huéspedes,Habitaciones,Camas,Baños,Puntuación
"Minicasa en Molins de Rei, España","Molins de Rei, Catalunya, España",648564.0,2,1,1,1.0,4.93
"Casa de huéspedes entero en Molins de Rei, España","Molins de Rei, Cataluña, España",813457.0,4,1,2,1.0,4.89
"Villa entero en El Masnou, España","El Masnou, Catalunya, España",2088633.0,8,4,3,3.0,4.88
"Casa de huéspedes entero en San Pedro de Ribas, España","San Pedro de Ribas, Catalunya, España",794241.0,4,1,2,1.0,4.87
"Minicasa en Torrelles de Llobregat, España","Torrelles de Llobregat, Catalunya, España",687050.0,2,1,1,1.0,4.61
"Alojamiento entero en Calafell, España","Calafell, Catalunya, España",769497.0,6,3,4,2.0,4.9
"Villa entero en Vallbona d'Anoia, España","Vallbona d'Anoia, Catalunya, España",2543183.0,4,2,2,1.0,5.0
"Casa de huéspedes entero en Bigues i Riells, España","Bigues i Riells, Catalunya, España",851942.0,2,1,1,1.0,5.0
"Casa de campo entero en Palafolls, España","Palafolls, Catalunya, España",989352.0,5,2,3,1.8484848484848484,4.86
"Villa entero en Sils, España","Sils, Catalunya, España",4405730.0,12,5,6,2.0,4.0
"Alojamiento entero en Vilafranca del Penedès, España","Vilafranca del Penedès, Catalunya, España",9593272.0,11,5,8,3.0,4.59
"Alojamiento entero en Masquefa, España","Masquefa, Catalunya, España",1770570.0,4,2,3,2.0,5.0
"Alojamiento entero en Malgrat de Mar, España","Malgrat de Mar, Catalunya, España",7735322.0,8,4,7,1.0,4.59
"Casa de huéspedes entero en Bigues i Riells, España","Bigues i Riells, Catalunya, España",970364.0,3,1,2,1.0,5.0
"Alojamiento entero en Premià de Mar, España","Premià de Mar, Catalunya, España",6240685.0,14,5,10,3.0,4.59
"Alojamiento entero en San Pedro de Ribas, España","San Pedro de Ribas, Cataluña, España",2770153.0,6,3,4,3.0,4.59
"Alojamiento entero en Olivella, España","Olivella, Catalunya, España",3108846.0,6,3,4,1.0,5.0
"Alojamiento entero en Gelida, España","Gelida, Catalunya, España",6603997.0,9,6,7,2.0,5.0
"Villa entero en Castellví de la Marca, España","Castellví de la Marca, Catalunya, España",4204747.0,12,6,9,6.0,4.59
"Casa de campo entero en Palafolls, España","Palafolls, Catalunya, España",989352.0,5,2,3,1.8484848484848484,4.86
"Alojamiento entero en Calafell, España","Calafell, Catalunya, España",2823715.0,8,3,5,1.0,4.95
"Villa entero en Arenys de Munt, España","Arenys de Munt, Cataluña, España",11221277.0,16,10,13,5.0,5.0
"Alojamiento entero en Fogars de la Selva, España","Fogars de la Selva, Catalunya, España",1356671.0,5,2,3,1.0,4.59
"Alojamiento entero en Pineda de Mar, España","Pineda de Mar, Catalunya, España",4267764.0,8,4,5,3.0,4.59
"Cabaña entero en Masquefa, España","Masquefa, Catalunya, España",648564.0,2,1,1,1.0,4.0
"Alojamiento entero en Calafell, España","Calafell, Cataluña, España",2473381.0,10,4,10,3.0,4.86
"Casa de huéspedes entero en Canet de Mar, España","Canet de Mar, Catalunya, España",654094.0,2,1,2,1.0,4.59
"Alojamiento entero en El Vendrell, España","El Vendrell, Catalunya, España",1923740.0,8,5,6,3.0,4.88
"Alojamiento entero en La Plana de les Torres, España","La Plana de les Torres, Catalunya, España",549640.0,3,1,2,1.0,4.55
"Cabaña entero en Vallirana, España","Vallirana, Catalunya, España",533930.0,5,3,3,1.0,4.0
"Alojamiento entero en Argentona, España","Argentona, Catalunya, España",934388.0,5,3,4,1.0,4.83
"Alojamiento entero en Olivella, España","Olivella, Catalunya, España",1255495.0,4,2,2,1.0,4.14
"Cabaña entero en Masquefa, España","Masquefa, Catalunya, España",450716.0,2,1,1,1.0,4.25
"Casa de huéspedes entero en Tordera, España","Tordera, Catalunya, España",494677.0,3,1,1,1.0,4.34
"Alojamiento entero en La Plana de les Torres, España","La Plana de les Torres, Catalunya, España",549640.0,3,1,2,1.0,4.55
"Alojamiento entero en Teià, España","Teià, Catalunya, España",6530415.0,5,3,3,1.0,4.43
"Cabaña entero en Masquefa, España","Masquefa, Catalunya, España",450716.0,2,1,1,1.0,4.25
"Alojamiento entero en Palafolls, España","Palafolls, Catalunya, España",3706700.0,7,4,5,2.0,4.86
"Cabaña entero en Vallirana, España","Vallirana, Catalunya, España",533930.0,5,3,3,1.0,4.0
"Alojamiento entero en Palafolls, España","Palafolls, Cataluña, España",4516104.0,16,8,18,2.0,4.59
"Minicasa en Matadepera, España","Matadepera, Catalunya, España",324309.0,4,2,2,1.0,4.59
"Casa de huéspedes entero en Canet de Mar, España","Canet de Mar, Catalunya, España",654094.0,2,1,2,1.0,4.59
"Alojamiento entero en Sils, España","Sils, Catalunya, España",1637203.0,6,3,5,2.0,4.0
"Alojamiento entero en Alella, España","Alella, Catalunya, España",6475228.0,6,3,3,2.0,4.66
"Alojamiento entero en Collbató, España","Collbató, Catalunya, España",1648920.0,6,3,4,2.0,4.45
"Casa de huéspedes entero en Tordera, España","Tordera, Catalunya, España",494677.0,3,1,1,1.0,4.34
"Alojamiento entero en Sitges, España","Sitges, España",3035263.0,10,4,4,2.0,4.58
"Alojamiento entero en Calafell, España","Calafell, Catalunya, España",2147679.0,6,3,4,1.0,4.25
"Villa entero en Sitges, España","Sitges, Catalunya, España",9873804.0,16,6,12,3.0,4.59
"Alojamiento entero en Olivella, España","Olivella, Catalunya, España",1241698.0,4,2,2,1.0,4.57
"Alojamiento entero en Maçanet de la Selva, España","Maçanet de la Selva, Catalunya, España",1456546.0,7,3,5,2.0,4.59
"Alojamiento entero en Sils, España","Sils, Catalunya, España",1637203.0,6,3,5,2.0,4.0
"Alojamiento entero en Fogars de la Selva, España","Fogars de la Selva, Catalunya, España",1582016.0,7,2,4,1.0,4.59
"Alojamiento entero en L'Ametlla del Vallès, España","L'Ametlla del Vallès, Catalunya, España",3781684.223880597,5,3,3,1.0,4.59
"Alojamiento entero en Campins, España","Campins, Cataluña, España",3173230.0,9,3,7,2.0,4.59
"Alojamiento entero en La Garriga, España","La Garriga, Cataluña, España",1044316.0,4,2,3,1.0,3.8
"Alojamiento entero en Olivella, España","Olivella, Catalunya, España",13042435.0,16,7,12,5.0,4.57
"Villa entero en Sant Martí Sarroca, España","Sant Martí Sarroca, Catalunya, España",5900368.0,14,6,8,1.0,4.59
"Alojamiento entero en Calafell, España","Calafell, Catalunya, España",2713341.0,9,4,5,1.0,4.7
"Alojamiento entero en Sant Martí Sarroca, España","Sant Martí Sarroca, Catalunya, España",8954027.0,12,6,8,2.0,4.59
"Villa entero en San Pedro de Ribas, España","San Pedro de Ribas, CT, España",12449405.0,16,15,42,2.0,4.33
"Villa entero en Sitges, España","Sitges, Catalunya, España",10185148.0,8,4,4,3.0,4.59
"Alojamiento entero en Olivella, España","Olivella, Catalunya, España",8636703.0,10,5,5,3.0,4.57
"Alojamiento entero en Cunit, España","Cunit, Catalunya, España",2984676.0,7,4,5,1.0,4.59
"Alojamiento entero en Calders, España","Calders, Cataluña, España",7551367.0,12,6,10,4.0,4.59
"Villa entero en Santa Oliva, España","Santa Oliva, Catalunya, España",15608612.0,16,8,11,3.0,4.59
"Alojamiento entero en Sitges, España","Sitges, Catalunya, España",19177345.0,8,4,4,3.0,4.59
"Alojamiento entero en El Vendrell, España","El Vendrell, Catalunya, España",5288716.0,8,4,5,2.0,4.88
